"region","s1aq1","s1aq4y","urbrur","s1aq5","s2aq3","s2aq11a29","s4aq2","s4aq40a1","s4aq43m","s4aq49","s4aq55a","s4gq13c","hhid","s3aq23hhid","education_rank","urban_binary","abv_avg_wage"
"OTI","Male",3,"Rural",NA,"Nursery",200,NA,NA,NA,NA,681.833333333333,NA,744716,1,1,0,"Low"
"ASHANTI","Female",34,"Urban","Married (Islamic)","Tertiary - Bachelor's Degree",NA,NA,NA,NA,NA,1823.08021656255,NA,326502,NA,12,1,"High"
"GREATER ACCRA","Male",25,"Urban","Never married","SSS/SHS",NA,NA,NA,NA,NA,673.530203086443,NA,213015,1,6,1,"Low"
"VOLTA","Male",19,"Rural","Never married","SSS/SHS",0,NA,NA,NA,NA,673.530203086443,NA,518213,10,6,0,"Low"
"CENTRAL","Male",7,"Urban",NA,"Primary",0,NA,NA,NA,NA,704.84499041006,NA,505910,10,3,1,"Low"
"ASHANTI","Female",8,"Urban",NA,"Kindergarten",260,NA,NA,NA,NA,729.655004205214,NA,724115,2,2,1,"High"
"EASTERN","Male",32,"Rural","Informal/living together","Tertiary - Bachelor's Degree",0,NA,"Clerical support workers",0,"Yes",400,"Yes",522303,10,12,0,"Low"
"NORTHERN","Female",25,"Urban","Married (Islamic)","SSS/SHS",NA,NA,"Craft and related trades workers",NA,NA,267.5,NA,345410,NA,6,1,"Low"
"WESTERN","Female",23,"Rural","Never married","SSS/SHS",NA,5,"Clerical support workers",0,"Yes",800,"Yes",702116,NA,6,0,"High"
"CENTRAL","Male",41,"Urban","Married (Customary/Traditional)","JSS/JHS",NA,NA,NA,NA,NA,618.119080643605,NA,106116,1,4,1,"Low"
"NORTHERN","Male",5,"Urban",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,345120,1,0,1,"High"
"UPPER EAST","Female",84,"Rural","Widowed","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,156713,1,0,0,"High"
"ASHANTI","Male",5,"Rural","Never married","Kindergarten",60,NA,NA,NA,NA,729.655004205214,NA,229612,NA,2,0,"High"
"WESTERN NORTH","Male",25,"Rural","Never married","SSS/SHS",NA,NA,NA,NA,NA,673.530203086443,NA,231917,1,6,0,"Low"
"BONO","Female",14,"Urban","Never married","JSS/JHS",1320,NA,NA,NA,NA,618.119080643605,NA,336004,1,4,1,"Low"
"CENTRAL","Female",36,"Urban","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Service and sales workers",0,NA,660.672413793103,NA,406411,1,4,1,"Low"
"VOLTA","Female",49,"Urban","Married (Customary/Traditional)","Middle",NA,NA,"Service and sales workers",3,NA,660.672413793103,NA,515620,10,5,1,"Low"
"WESTERN","Male",26,"Rural","Married (Customary/Traditional)","JSS/JHS",NA,6,"Elementary occupations",5,"Yes",800,NA,203214,1,4,0,"High"
"NORTHERN","Male",11,"Rural",NA,"Primary",0,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,548114,10,3,0,"High"
"NORTHERN","Male",11,"Rural",NA,"Primary",10,NA,NA,NA,NA,704.84499041006,NA,147706,NA,3,0,"Low"
"UPPER WEST","Male",31,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",2,NA,889,"Don't Know",359204,1,3,0,"High"
"SAVANNAH","Female",43,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,449808,1,0,0,"High"
"UPPER WEST","Female",32,"Urban","Married (Islamic)","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,758316,1,0,1,"High"
"OTI","Male",31,"Urban","Informal/living together","Secondary",NA,NA,"Craft and related trades workers",0,NA,267.5,NA,242818,1,7,1,"Low"
"WESTERN NORTH","Male",50,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",733005,1,0,0,"High"
"SAVANNAH","Female",57,"Urban","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",649320,1,0,1,"High"
"CENTRAL","Female",41,"Urban","Separated","No Formal Education",NA,NA,"Service and sales workers",3,NA,660.672413793103,"Don't Know",106603,1,0,1,"Low"
"ASHANTI","Female",13,"Urban","Never married","JSS/JHS",120,NA,NA,NA,NA,618.119080643605,NA,723912,1,4,1,"Low"
"BONO EAST","Male",40,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,541506,10,0,0,"High"
"UPPER EAST","Female",7,"Urban",NA,"Primary",55,NA,NA,NA,NA,704.84499041006,NA,454407,1,3,1,"Low"
"NORTHERN","Male",11,"Rural",NA,"Primary",50,NA,NA,NA,NA,704.84499041006,NA,247107,1,3,0,"Low"
"CENTRAL","Female",6,"Rural",NA,"Primary",200,NA,NA,NA,NA,704.84499041006,NA,108116,NA,3,0,"Low"
"UPPER EAST","Male",16,"Rural","Never married","JSS/JHS",450,NA,NA,NA,NA,618.119080643605,NA,255611,1,4,0,"Low"
"NORTHERN","Female",30,"Rural","Married (Customary/Traditional)","SSS/SHS",NA,NA,"Elementary occupations",2,NA,464.756097560976,"No",348001,1,6,0,"Low"
"AHAFO","Male",40,"Urban","Married (Customary/Traditional)","No Formal Education",NA,6,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",134206,NA,0,1,"High"
"ASHANTI","Female",29,"Urban","Never married","JSS/JHS",NA,NA,"Service and sales workers",0,NA,660.672413793103,NA,526402,10,4,1,"Low"
"SAVANNAH","Female",18,"Rural","Never married","Primary",NA,NA,"Service and sales workers",0,NA,660.672413793103,NA,549801,10,3,0,"Low"
"WESTERN","Female",54,"Rural","Married (Customary/Traditional)","Secondary",NA,NA,"Skilled agricultural, forestry and fishery workers",3,NA,889,NA,102511,2,7,0,"High"
"WESTERN","Male",6,"Urban",NA,"Kindergarten",15,NA,NA,NA,NA,729.655004205214,NA,201905,1,2,1,"High"
"OTI","Male",3,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,244709,1,0,0,"High"
"VOLTA","Male",54,"Rural","Married (Civil/Ordinance)","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,317618,2,5,0,"High"
"ASHANTI","Female",1,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,624017,1,NA,1,"Low"
"BONO EAST","Female",28,"Urban","Married (Customary/Traditional)","SSS/SHS",NA,NA,"Service and sales workers",3,NA,660.672413793103,"No",739318,1,6,1,"Low"
"CENTRAL","Female",43,"Urban","Married (Customary/Traditional)","Primary",NA,NA,"Service and sales workers",0,NA,660.672413793103,"Don't Know",704818,2,3,1,"Low"
"CENTRAL","Female",33,"Rural","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Service and sales workers",0,NA,660.672413793103,NA,306907,1,4,0,"Low"
"OTI","Female",3,"Urban",NA,"Kindergarten",10,NA,NA,NA,NA,729.655004205214,NA,442811,1,2,1,"High"
"ASHANTI","Male",76,"Urban","Married (Civil/Ordinance)","Voc/Tech/Commercial",NA,NA,NA,NA,NA,784.465517241379,NA,426121,1,8,1,"High"
"ASHANTI","Female",2,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,129905,1,NA,0,"Low"
"BONO EAST","Female",46,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",642215,1,0,0,"High"
"ASHANTI","Male",52,"Urban","Married (Civil/Ordinance)","Middle",NA,NA,NA,NA,NA,777.271367946636,NA,326101,NA,5,1,"High"
"NORTHERN","Female",41,"Urban","Widowed","JSS/JHS",NA,NA,"Craft and related trades workers",0,NA,267.5,"Don't Know",246006,2,4,1,"Low"
"WESTERN","Female",4,"Rural",NA,"Kindergarten",110,NA,NA,NA,NA,729.655004205214,NA,303003,NA,2,0,"High"
"WESTERN NORTH","Male",73,"Urban","Widowed","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",630202,1,3,1,"High"
"EASTERN","Male",6,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,323211,1,0,0,"High"
"GREATER ACCRA","Male",2,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,713205,1,NA,0,"Low"
"SAVANNAH","Male",14,"Rural","Never married","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",6,NA,889,NA,149810,1,3,0,"High"
"NORTHERN","Female",50,"Urban","Married (Islamic)","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,445305,2,0,1,"High"
"VOLTA","Female",19,"Rural","Never married","SSS/SHS",0,NA,NA,NA,NA,673.530203086443,NA,517013,80,6,0,"Low"
"GREATER ACCRA","Female",12,"Urban","Never married","Primary",200,NA,NA,NA,NA,704.84499041006,NA,313003,1,3,1,"Low"
"GREATER ACCRA","Female",28,"Urban","Never married","Tertiary - Bachelor's Degree",NA,NA,NA,NA,NA,1823.08021656255,NA,210815,NA,12,1,"High"
"NORTHERN","Male",15,"Rural","Never married","JSS/JHS",150,NA,NA,NA,NA,618.119080643605,NA,247219,1,4,0,"Low"
"WESTERN","Male",2,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,301906,1,NA,1,"Low"
"AHAFO","Female",4,"Rural",NA,"Kindergarten",20,NA,NA,NA,NA,729.655004205214,NA,135016,1,2,0,"High"
"NORTHERN","Female",70,"Rural","Married (Islamic)","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,447508,5,0,0,"High"
"BONO","Female",15,"Rural","Never married","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",6,NA,889,"Don't Know",737617,2,0,0,"High"
"EASTERN","Male",8,"Rural",NA,"Nursery",30,NA,NA,NA,NA,681.833333333333,NA,623410,1,1,0,"Low"
"BONO","Female",1,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,238713,1,NA,0,"Low"
"ASHANTI","Female",61,"Rural","Married (Customary/Traditional)","Primary",NA,NA,NA,NA,NA,704.84499041006,NA,728611,1,3,0,"Low"
"SAVANNAH","Male",11,"Rural",NA,"Primary",350,NA,"Skilled agricultural, forestry and fishery workers",4,NA,889,NA,651002,1,3,0,"High"
"GREATER ACCRA","Male",43,"Rural","Married (Customary/Traditional)","JSS/JHS",NA,4,"Plant and machine operators, and assemblers",0,"Yes",800,NA,514303,10,4,0,"High"
"BONO EAST","Female",66,"Rural","Widowed","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,142005,1,0,0,"High"
"VOLTA","Female",12,"Urban","Never married","Primary",0,NA,NA,NA,NA,704.84499041006,NA,315815,2,3,1,"Low"
"NORTH EAST","Female",77,"Rural","Widowed","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,653007,1,0,0,"High"
"SAVANNAH","Female",3,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,150402,1,0,0,"High"
"BONO","Male",49,"Urban","Married (Islamic)","SSS/SHS",NA,5,"Craft and related trades workers",6,"Yes",1200,NA,436917,1,6,1,"High"
"WESTERN","Male",60,"Urban","Married (Customary/Traditional)","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,401302,1,5,1,"High"
"OTI","Female",10,"Rural",NA,"Primary",260,NA,NA,NA,NA,704.84499041006,NA,743614,1,3,0,"Low"
"NORTHERN","Female",22,"Urban","Married (Islamic)","JSS/JHS",NA,NA,NA,0,NA,618.119080643605,NA,145516,1,4,1,"Low"
"BONO","Male",12,"Urban","Never married","Primary",50,NA,NA,NA,NA,704.84499041006,NA,436515,1,3,1,"Low"
"BONO","Male",54,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",238814,1,0,0,"High"
"WESTERN","Female",47,"Urban","Never married","JSS/JHS",NA,NA,"Service and sales workers",2,NA,660.672413793103,NA,500912,10,4,1,"Low"
"OTI","Female",42,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",2,NA,889,NA,444801,1,0,0,"High"
"CENTRAL","Female",20,"Rural","Never married","SSS/SHS",1300,NA,NA,NA,NA,673.530203086443,NA,308806,1,6,0,"Low"
"VOLTA","Female",6,"Rural",NA,"Primary",85,NA,NA,NA,NA,704.84499041006,NA,116621,1,3,0,"Low"
"BONO EAST","Male",28,"Urban","Never married","JSS/JHS",NA,2,"Plant and machine operators, and assemblers",7,NA,561.896551724138,"No",140116,1,4,1,"Low"
"CENTRAL","Female",24,"Urban","Informal/living together","JSS/JHS",NA,NA,NA,NA,NA,618.119080643605,NA,104614,1,4,1,"Low"
"NORTH EAST","Male",0,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,451919,1,NA,1,"Low"
"WESTERN NORTH","Female",50,"Urban","Informal/living together","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",2,NA,889,"No",230805,1,0,1,"High"
"GREATER ACCRA","Female",24,"Urban","Never married","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,612605,2,0,1,"High"
"SAVANNAH","Female",59,"Urban","Widowed","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,748612,1,0,1,"High"
"VOLTA","Male",9,"Urban",NA,"Primary",0,NA,NA,NA,NA,704.84499041006,NA,315105,1,3,1,"Low"
"EASTERN","Female",56,"Rural","Separated","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",1,NA,889,"No",321803,2,0,0,"High"
"GREATER ACCRA","Male",13,"Rural","Never married","JSS/JHS",300,NA,NA,NA,NA,618.119080643605,NA,513913,10,4,0,"Low"
"SAVANNAH","Female",16,"Rural","Never married","Primary",120,NA,NA,NA,NA,704.84499041006,NA,451001,1,3,0,"Low"
"WESTERN NORTH","Male",58,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",632115,1,3,0,"High"
"UPPER EAST","Female",16,"Rural","Never married","JSS/JHS",20,NA,NA,NA,NA,618.119080643605,NA,256516,NA,4,0,"Low"
"GREATER ACCRA","Male",23,"Urban","Never married","SSS/SHS",NA,NA,NA,NA,NA,673.530203086443,NA,712103,3,6,1,"Low"
"OTI","Female",5,"Rural",NA,"Kindergarten",150,NA,NA,NA,NA,729.655004205214,NA,443512,1,2,0,"High"
"CENTRAL","Male",65,"Rural","Divorced","Voc/Tech/Commercial",NA,NA,"Skilled agricultural, forestry and fishery workers",0,"No",500,"Yes",308018,NA,8,0,"Low"
"UPPER EAST","Male",28,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",2,NA,889,"No",756404,2,3,0,"High"
"ASHANTI","Male",5,"Rural",NA,"Primary",50,NA,NA,NA,NA,704.84499041006,NA,229414,1,3,0,"Low"
"UPPER WEST","Male",35,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Craft and related trades workers",8,NA,267.5,NA,359717,1,3,0,"Low"
"WESTERN","Female",4,"Urban",NA,"Kindergarten",800,NA,NA,NA,NA,729.655004205214,NA,201318,1,2,1,"High"
"WESTERN NORTH","Male",8,"Urban",NA,"Primary",260,NA,NA,NA,NA,704.84499041006,NA,730506,1,3,1,"Low"
"VOLTA","Male",29,"Urban","Informal/living together","JSS/JHS",NA,NA,"Plant and machine operators, and assemblers",7,NA,561.896551724138,"Don't Know",115920,1,4,1,"Low"
"WESTERN","Female",36,"Urban","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Service and sales workers",2,"No",50,"No",201216,1,4,1,"Low"
"GREATER ACCRA","Male",20,"Urban","Never married","SSS/SHS",NA,NA,NA,NA,NA,673.530203086443,NA,510708,10,6,1,"Low"
"WESTERN NORTH","Female",7,"Rural",NA,"Primary",200,NA,NA,NA,NA,704.84499041006,NA,532809,10,3,0,"Low"
"NORTHERN","Female",11,"Rural",NA,"Primary",100,NA,NA,NA,NA,704.84499041006,NA,647410,1,3,0,"Low"
"UPPER WEST","Female",14,"Rural","Never married","Primary",NA,NA,NA,2,NA,704.84499041006,NA,159502,1,3,0,"Low"
"OTI","Male",17,"Urban","Never married","Primary",50,NA,NA,0,NA,704.84499041006,NA,142412,1,3,1,"Low"
"ASHANTI","Male",22,"Rural","Never married","Primary",NA,NA,"Craft and related trades workers",0,NA,267.5,NA,429210,1,3,0,"Low"
"BONO EAST","Female",33,"Urban","Never married","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",639309,1,3,1,"High"
"VOLTA","Female",18,"Urban","Never married","SSS/SHS",280,NA,NA,NA,NA,673.530203086443,NA,115017,1,6,1,"Low"
"ASHANTI","Female",50,"Urban","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Craft and related trades workers",0,NA,267.5,"No",623510,1,4,1,"Low"
"NORTH EAST","Male",15,"Rural","Never married","Primary",59,NA,NA,NA,NA,704.84499041006,NA,453218,NA,3,0,"Low"
"CENTRAL","Female",1,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,207504,1,NA,0,"Low"
"UPPER EAST","Male",50,"Rural","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,557003,10,0,0,"High"
"ASHANTI","Female",28,"Urban","Informal/living together","JSS/JHS",NA,6,"Elementary occupations",0,"Yes",500,"No",627118,2,4,1,"Low"
"AHAFO","Male",14,"Urban","Never married","JSS/JHS",1810,NA,"Plant and machine operators, and assemblers",0,NA,561.896551724138,NA,333902,NA,4,1,"Low"
"NORTHERN","Female",38,"Urban","Married (Islamic)","No Formal Education",NA,NA,"Service and sales workers",0,NA,660.672413793103,"No",245704,NA,0,1,"Low"
"NORTH EAST","Female",9,"Rural",NA,"Primary",20,NA,NA,NA,NA,704.84499041006,NA,153408,1,3,0,"Low"
"EASTERN","Female",2,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,120801,NA,NA,0,"Low"
"CENTRAL","Female",3,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,107518,1,0,0,"High"
"NORTH EAST","Female",15,"Rural","Never married","Primary",NA,NA,"Service and sales workers",3,NA,660.672413793103,NA,452716,1,3,0,"Low"
"BONO","Female",17,"Urban","Never married","SSS/SHS",600,NA,NA,NA,NA,673.530203086443,NA,336411,1,6,1,"Low"
"UPPER EAST","Female",13,"Urban","Never married","Primary",300,NA,"Service and sales workers",0,NA,660.672413793103,NA,154107,1,3,1,"Low"
"VOLTA","Female",75,"Rural","Never married","Middle",NA,NA,NA,NA,NA,777.271367946636,"No",418003,1,5,0,"High"
"NORTHERN","Male",6,"Urban",NA,"Kindergarten",0,NA,NA,NA,NA,729.655004205214,NA,445418,1,2,1,"High"
"SAVANNAH","Male",11,"Rural",NA,"Primary",400,NA,NA,NA,NA,704.84499041006,NA,249714,1,3,0,"Low"
"UPPER EAST","Female",9,"Rural",NA,"Primary",100,NA,NA,NA,NA,704.84499041006,NA,156309,1,3,0,"Low"
"VOLTA","Male",4,"Rural",NA,"Nursery",NA,NA,NA,NA,NA,681.833333333333,NA,418118,1,1,0,"Low"
"NORTHERN","Female",15,"Rural","Never married","JSS/JHS",150,NA,NA,NA,NA,618.119080643605,NA,248012,NA,4,0,"Low"
"SAVANNAH","Male",5,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,550411,10,0,0,"High"
"CENTRAL","Female",36,"Urban","Married (Islamic)","Tertiary - Bachelor's Degree",800,NA,NA,NA,NA,1823.08021656255,NA,505404,10,12,1,"High"
"ASHANTI","Female",50,"Urban","Divorced","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",624204,2,5,1,"High"
"VOLTA","Male",10,"Rural",NA,"Primary",0,NA,NA,NA,NA,704.84499041006,NA,217813,1,3,0,"Low"
"GREATER ACCRA","Female",12,"Urban","Never married","Primary",150,NA,NA,NA,NA,704.84499041006,NA,209117,2,3,1,"Low"
"VOLTA","Male",22,"Urban","Never married","JSS/JHS",NA,NA,"Plant and machine operators, and assemblers",0,NA,561.896551724138,"No",215207,1,4,1,"Low"
"GREATER ACCRA","Female",32,"Urban","Married (Islamic)","JSS/JHS",NA,NA,NA,4,NA,618.119080643605,"No",110909,1,4,1,"Low"
"BONO","Male",46,"Rural","Married (Customary/Traditional)","JSS/JHS",NA,NA,NA,0,NA,618.119080643605,NA,138014,1,4,0,"Low"
"BONO","Female",32,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,539016,10,0,0,"High"
"SAVANNAH","Male",7,"Urban",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,549217,10,0,1,"High"
"GREATER ACCRA","Male",4,"Urban",NA,"Kindergarten",1200,NA,NA,NA,NA,729.655004205214,NA,212205,1,2,1,"High"
"AHAFO","Female",61,"Rural","Married (Civil/Ordinance)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,435611,2,3,0,"High"
"NORTH EAST","Female",10,"Rural",NA,"Primary",260,NA,NA,1,NA,704.84499041006,NA,153307,1,3,0,"Low"
"UPPER WEST","Male",73,"Urban","Married (Customary/Traditional)","Postmiddle/secondary certificate",NA,NA,NA,NA,NA,726.261494252874,NA,257902,1,9,1,"High"
"WESTERN","Female",1,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,402815,1,NA,0,"Low"
"CENTRAL","Female",22,"Urban","Never married","JSS/JHS",NA,NA,"Service and sales workers",6,NA,660.672413793103,"No",606402,2,4,1,"Low"
"EASTERN","Male",8,"Rural",NA,"Kindergarten",350,NA,NA,NA,NA,729.655004205214,NA,621208,1,2,0,"High"
"SAVANNAH","Female",16,"Rural","Never married","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,450103,NA,0,0,"High"
"BONO EAST","Male",13,"Urban","Never married","Primary",450,NA,NA,NA,NA,704.84499041006,NA,740113,1,3,1,"Low"
"BONO EAST","Female",56,"Urban","Widowed","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",640506,1,5,1,"High"
"GREATER ACCRA","Male",49,"Urban","Married (Customary/Traditional)","Voc/Tech/Commercial",NA,NA,"Craft and related trades workers",0,"No",120,"No",709022,1,8,1,"Low"
"UPPER EAST","Female",68,"Rural","Widowed","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,755712,1,0,0,"High"
"AHAFO","Male",22,"Rural","Never married","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",9,NA,889,"Yes",735501,1,6,0,"High"
"CENTRAL","Female",10,"Rural",NA,"Primary",90,NA,NA,NA,NA,704.84499041006,NA,208308,1,3,0,"Low"
"BONO","Male",4,"Urban",NA,"Nursery",200,NA,NA,NA,NA,681.833333333333,NA,736306,1,1,1,"Low"
"NORTHERN","Female",16,"Rural","Never married","Primary",NA,NA,"Craft and related trades workers",6,NA,267.5,"Don't Know",747901,NA,3,0,"Low"
"WESTERN","Female",5,"Rural",NA,"Kindergarten",300,NA,NA,NA,NA,729.655004205214,NA,502106,80,2,0,"High"
"WESTERN NORTH","Male",20,"Rural","Never married","JSS/JHS",300,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,531905,10,4,0,"High"
"ASHANTI","Male",59,"Rural","Divorced","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,428207,1,5,0,"High"
"BONO EAST","Male",20,"Rural","Never married","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,141703,1,3,0,"High"
"UPPER WEST","Female",9,"Urban",NA,"Primary",0,NA,NA,NA,NA,704.84499041006,NA,558215,10,3,1,"Low"
"WESTERN NORTH","Male",2,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,131718,1,NA,0,"Low"
"VOLTA","Female",14,"Rural","Never married","JSS/JHS",0,NA,NA,NA,NA,618.119080643605,NA,216407,1,4,0,"Low"
"VOLTA","Female",2,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,117108,1,NA,0,"Low"
"BONO EAST","Male",2,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,440619,1,NA,1,"Low"
"VOLTA","Female",23,"Rural","Never married","JSS/JHS",NA,NA,NA,NA,NA,618.119080643605,NA,516807,80,4,0,"Low"
"UPPER WEST","Female",83,"Rural","Widowed","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,360003,NA,0,0,"High"
"WESTERN","Female",5,"Urban",NA,"Kindergarten",NA,NA,NA,NA,NA,729.655004205214,NA,600308,1,2,1,"High"
"WESTERN","Male",52,"Rural","Married (Customary/Traditional)","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,502511,10,5,0,"High"
"WESTERN","Female",5,"Rural",NA,"Nursery",100,NA,NA,NA,NA,681.833333333333,NA,603510,1,1,0,"Low"
"OTI","Female",34,"Urban","Never married","SSS/SHS",0,NA,NA,NA,NA,673.530203086443,NA,442820,3,6,1,"Low"
